ticker,name,corp_code,year,quarter,quarter_key,Assets,Equity,Liabilities,Debt_to_Equity,Debt_to_Equity_log,Revenue_ttm,Revenue_ttm_yoy,Revenue_acc2,OpIncome_ttm,OpIncome_ttm_yoy,OpIncome_acc2,NetIncome_ttm,NetIncome_ttm_yoy,NetIncome_acc2,CFO_ttm,CFO_ttm_yoy,CFO_acc2,CAPEX_ttm,CAPEX_ttm_yoy,CAPEX_acc2,Assets_ttm,CFO_to_Assets_ttm,CAPEX_to_Assets_ttm,CFO_isnull,CFO_warn,CFO_safe,Quality_CFO_to_Assets,industry4,rebalance_month,passed_filters,filter_status,industry4_scored,CFO_warn_scored,CFO_isnull_scored,quarter_scored,year_scored,corp_code_scored,score_total,score,score_rank,OpIncome_acc2__raw,OpIncome_acc2__z,OpIncome_acc2__rank,OpIncome_acc2__mult,OpIncome_acc2__contrib,Debt_to_Equity_log__raw,Debt_to_Equity_log__z,Debt_to_Equity_log__rank,Debt_to_Equity_log__mult,Debt_to_Equity_log__contrib,Quality_CFO_to_Assets__raw,Quality_CFO_to_Assets__z,Quality_CFO_to_Assets__rank,Quality_CFO_to_Assets__mult,Quality_CFO_to_Assets__contrib,CAPEX_ttm_yoy__raw,CAPEX_ttm_yoy__z,CAPEX_ttm_yoy__rank,CAPEX_ttm_yoy__mult,CAPEX_ttm_yoy__contrib,CFO_isnull__raw,CFO_isnull__z,CFO_isnull__rank,CFO_isnull__mult,CFO_isnull__contrib,selected_topk
042520,한스바이오메드,00349060,2025,4,202504,126407117302.0,33886510129.0,92520607173.0,2.730307925507533,1.3164907840037212,67745961528.0,0.12305422094793572,0.11033166298595853,-25931354125.0,913.6507234287205,914.6440940967984,-28642191436.0,2.6873062758463355,3.3567083460088596,1205792797.0,-2.6107765869491315,-2.400588909301879,448853038.0,-0.3545735413837864,-1.1348179983492486,126407117302.0,0.009538962858548805,0.0035508525752362703,0,0,1205792797.0,0.009538962858548805,213,2026-03-31,True,passed,213,0.0,0.0,4.0,2025.0,00349060,7.777331898567897,7.777331898567897,1.0,914.6440940967984,8.581153965047863,1.0,1.0,8.581153965047863,1.3164907840037212,0.9199012950221764,13.0,1.0,-0.7359210360177412,0.009538962858548805,-0.26632613077504397,56.0,1.0,-0.06658153269376099,-0.3545735413837864,0.008796651789755628,63.0,1.0,-0.0013194977684633442,0.0,0.0,1.0,1.0,-0.0,1
322000,HD현대에너지솔루션,01199550,2025,4,202504,530430417283.0,417784216586.0,112646200697.0,0.26962770785720197,0.23872371407604293,371610970361.0,0.15504644157424452,0.36102654694538605,26547885709.0,330.35938550168385,331.35215204500884,29705468294.0,-48.68470480595912,-47.762016226342965,-6212074189.0,-1.1792679042882137,-0.8961128016831201,1056098140.0,-0.7767304559426826,-0.8832676545341498,530430417283.0,-0.011711383786811906,0.001991021075694724,0,0,-6212074189.0,-0.011711383786811906,2612,2026-03-31,True,passed,2612,0.0,0.0,4.0,2025.0,01199550,3.5556802505586966,3.5556802505586966,2.0,331.35215204500884,3.0096846626643843,2.0,1.0,3.0096846626643843,0.23872371407604293,-0.9685420145299838,75.0,1.0,0.7748336116239871,-0.011711383786811906,-0.9541320595888928,76.0,1.0,-0.2385330148972232,-0.7767304559426826,-0.06463327445032493,82.0,1.0,0.00969499116754874,0.0,0.0,1.0,1.0,-0.0,1
095610,테스,00524421,2025,4,202504,487468886334.0,391753766498.0,95715119836.0,0.24432469582009406,0.21859296976161705,283547331902.0,0.4979921778457592,-0.08953404920000563,49421972958.0,0.43623734753681864,67.84288655189508,44817128622.0,0.11587494077453853,-6.021556660924148,16902311278.0,0.49347007222799144,2.712255125568911,62513702290.0,-3.620737702929877,1.61905442341408,487468886334.0,0.03467362072093153,0.12824142020659626,0,0,16902311278.0,0.03467362072093153,29271,2026-03-31,True,passed,29271,0.0,0.0,4.0,2025.0,00524421,1.5164556538779226,1.5164556538779226,3.0,67.84288655189508,0.4927052947955445,3.0,1.0,0.4927052947955445,0.21859296976161705,-1.0038147283450698,78.0,1.0,0.8030517826760559,0.03467362072093153,0.5472025605429707,20.0,1.0,0.13680064013574267,-3.620737702929877,-0.5593195751371969,84.0,1.0,0.08389793627057952,0.0,0.0,1.0,1.0,-0.0,1
042700,한미반도체,00161383,2025,4,202504,813331626120.0,690327519537.0,123004106583.0,0.17818224408248765,0.1639727796154585,410453262426.0,0.1714125938188491,-1.570105496041904,183568130453.0,0.17606479646082707,-3.7527024678870378,148294300129.0,0.2982772054444329,0.8459041941419514,88360913617.0,0.039314751134645665,-4.072934680576493,48288157182.0,2.2013348874647187,-8.375844174245657,813331626120.0,0.1086406956022673,0.05937080968111217,0,0,88360913617.0,0.1086406956022673,29271,2026-03-31,True,passed,29271,0.0,0.0,4.0,2025.0,00161383,1.3557707430106873,1.3557707430106873,4.0,-3.7527024678870378,-0.19115916080902584,83.0,1.0,-0.19115916080902584,0.1639727796154585,-1.0995192043176947,82.0,1.0,0.8796153634541558,0.1086406956022673,2.94128080733277,2.0,1.0,0.7353202018331925,2.2013348874647187,0.4533710764509018,6.0,1.0,-0.06800566146763527,0.0,0.0,1.0,1.0,-0.0,1
100790,미래에셋벤처투자,00340096,2025,4,202504,1100137937076.0,378332006272.0,721805930804.0,1.9078637779460326,1.0674187146765506,218074856782.0,-0.07726809056373407,-0.29798969745711756,25309314031.0,0.3302798952592372,0.7494170636406072,23691033448.0,,,81491074845.0,0.28260467843035175,-9.361138833634216,225268040.0,-51.22609184228598,,1100137937076.0,0.07407350669279794,0.00020476345048033552,0,0,81491074845.0,0.07407350669279794,649,2026-03-31,True,passed,649,0.0,0.0,4.0,2025.0,00340096,1.2466397652692405,1.2466397652692405,5.0,0.7494170636406072,-0.1481559595692936,18.0,1.0,-0.1481559595692936,1.0674187146765506,0.4834818719006574,21.0,1.0,-0.38678549752052593,0.07407350669279794,1.8224511773440315,4.0,1.0,0.4556127943360079,-51.22609184228598,-8.839789520153682,86.0,1.0,1.3259684280230521,0.0,0.0,1.0,1.0,-0.0,1
030190,NICE평가정보,00158325,2025,4,202504,646531372501.0,469548309154.0,176983063347.0,0.3769219479586157,0.31985053546651265,451095582703.0,0.12591257281540202,0.0339047526445877,77392774235.0,0.205986508966435,-0.09245799219666773,55114988928.0,-0.03581911362782264,-0.36843379531866083,45771128089.0,-0.03498909755740354,-0.4783663757204978,2685539291.0,-0.5319162593445601,-0.7020547674283888,646531372501.0,0.0707949065363092,0.004153764852293918,0,0,45771128089.0,0.0707949065363092,63991,2026-03-31,True,passed,63991,0.0,0.0,4.0,2025.0,00158325,0.9373080225965855,0.9373080225965855,6.0,-0.09245799219666773,-0.1561973547813387,55.0,1.0,-0.1561973547813387,0.31985053546651265,-0.8263931148699245,68.0,1.0,0.6611144918959396,0.0707949065363092,1.7163333495515478,5.0,1.0,0.42908333738788695,-0.5319162593445601,-0.022050320627317634,69.0,1.0,0.003307548094097645,0.0,0.0,1.0,1.0,-0.0,1
041920,메디아나,00273439,2025,4,202504,146835881738.0,135432248814.0,11403632924.0,0.084201754189739,0.08084400580049247,49941574445.0,0.1350387385333769,0.4149844530359782,4370574369.0,1.180374769618802,1.9089062941197898,3000957137.0,-0.5933901542798659,-0.7851238347895226,2383860301.0,-0.19804440461810813,0.13651757544230436,107940201.0,-0.6469843092274332,-2.0802977054237335,146835881738.0,0.01623486216573095,0.0007351077932885522,0,0,2383860301.0,0.01623486216573095,27112,2026-03-31,True,passed,27112,0.0,0.0,4.0,2025.0,00273439,0.8529694014567161,0.8529694014567161,7.0,1.9089062941197898,-0.13708078744993415,13.0,1.0,-0.13708078744993415,0.08084400580049247,-1.245175887586633,85.0,1.0,0.9961407100693065,0.01623486216573095,-0.04960123122024675,47.0,1.0,-0.012400307805061687,-0.6469843092274332,-0.04206524428270284,78.0,1.0,0.006309786642405426,0.0,0.0,1.0,1.0,-0.0,1
026960,동서,00144395,2025,4,202504,1798366336076.0,1737278347482.0,61087988594.0,0.03516304032830463,0.03455894119852598,395556317133.0,0.060997332221572,0.0493093912902518,31878617432.0,-0.07339568186511647,-0.10539702834330966,112428097523.0,-0.10952479845285057,-0.2555391158423913,20453992000.0,0.3321584777324422,0.529241484973492,823547134.0,0.38203573506600774,0.625361020222278,1798366336076.0,0.011373651513423127,0.0004579418094518849,0,0,20453992000.0,0.011373651513423127,4632,2026-03-31,True,passed,4632,0.0,0.0,4.0,2025.0,00144395,0.832425488513934,0.832425488513934,8.0,-0.10539702834330966,-0.1563209454526582,56.0,1.0,-0.1563209454526582,0.03455894119852598,-1.32627571241765,86.0,1.0,1.0610205699341202,0.011373651513423127,-0.2069431119749455,54.0,1.0,-0.051735777993736375,0.38203573506600774,0.13692238649194388,24.0,1.0,-0.020538357973791582,0.0,0.0,1.0,1.0,-0.0,1
281820,케이씨텍,01261893,2025,4,202504,600479162239.0,530239452127.0,70239710112.0,0.1324679063963286,0.12439923925061419,286892657970.0,,,45097098548.0,,,38393555988.0,,,14485546480.0,,,14184491213.0,,,600479162239.0,0.024123312499284576,0.02362195410763372,0,0,14485546480.0,0.024123312499284576,272,2026-03-31,True,passed,272,0.0,0.0,4.0,2025.0,01261893,0.8216780196046912,0.8216780196046912,9.0,,-0.15507689432388708,41.0,1.0,-0.15507689432388708,0.12439923925061419,-1.1688592218618359,83.0,1.0,0.9350873774894688,0.024123312499284576,0.2057227406245274,31.0,1.0,0.05143068515613185,,0.06508765811348226,42.0,1.0,-0.009763148717022338,0.0,0.0,1.0,1.0,-0.0,1
005930,삼성전자,00126380,2025,4,202504,566942110000000.0,436320337000000.0,130621773000000.0,0.2993712690499687,0.26188050828400256,247544191000000.0,0.11620943587097132,-0.04168330706387158,31434989000000.0,0.33523919840595284,-4.360398964655245,32981058000000.0,0.35443337036071654,-1.1707793528689163,28799652000000.0,0.30775123056109877,0.2036139453988175,12759490000000.0,-0.18955302253227924,-0.18049774206135205,566942110000000.0,0.05079822347293977,0.022505807515338736,0,0,28799652000000.0,0.05079822347293977,264,2026-03-31,True,passed,264,0.0,0.0,4.0,2025.0,00126380,0.8070610359097138,0.8070610359097138,10.0,-4.360398964655245,-0.19696373675602122,85.0,1.0,-0.19696373675602122,0.26188050828400256,-0.9279671126677178,72.0,1.0,0.7423736901341743,0.05079822347293977,1.0691045114939977,9.0,1.0,0.2672761278734994,-0.18955302253227924,0.037500302279591335,54.0,1.0,-0.0056250453419387,0.0,0.0,1.0,1.0,-0.0,1
